"Gender Inequality Index (GII)"
"76","Sri Lanka","0.471"," a","..","..","0.439","..","0.401","..","0.388","..","0.387","..","0.376","..","0.371","..","0.376","..","0.354","..","0.354",".."
"167","Sudan","0.720"," a","..","..","0.666","..","0.617","..","0.611","..","0.604","..","0.598","..","0.593","..","0.573","..","0.564","..","0.564",".."
"100","Suriname","..","..","..","..","0.489","..","0.508","..","0.491","..","0.489","..","0.490","..","0.487","..","0.443","..","0.442","..","0.441",".."
"7","Sweden","0.090"," a","0.061","..","0.052","..","0.048","..","0.047","..","0.046","..","0.045","..","0.045","..","0.044","..","0.044","..","0.044",".."
"2","Switzerland","0.117"," a","0.094","..","0.073","..","0.057","..","0.056","..","0.053","..","0.048","..","0.046","..","0.044","..","0.040","..","0.039",".."
"155","Syrian Arab Republic","0.569"," a","0.548","..","0.542","..","0.540","..","0.543","..","0.548","..","0.552","..","0.554","..","0.555","..","0.546","..","0.547",".."
"127","Tajikistan","0.568"," a","0.420","..","0.353","..","0.339","..","0.338","..","0.335","..","0.334","..","0.339","..","0.338","..","0.317","..","0.317",".."
"154","Tanzania (United Republic of)","0.652"," a","..","..","0.593","..","..","..","0.557","..","0.554","..","0.550","..","0.547","..","0.542","..","0.538","..","0.537",".."
"83","Thailand","0.400"," a","0.397","..","0.348","..","0.326","..","0.315","..","0.318","..","0.317","..","0.381","..","0.378","..","0.378","..","0.393",".."
"80","The former Yugoslav Republic of Macedonia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.158","..","0.157","..","0.149",".."
"165","Togo","0.736"," a","0.663","..","0.633","..","0.606","..","0.605","..","0.602","..","0.582","..","0.572","..","0.572","..","0.569","..","0.567",".."
"98","Tonga","0.683"," a","0.677","..","0.488","..","0.678","..","0.481","..","0.480","..","0.476","..","0.671","..","0.669","..","0.666","..","0.416",".."
"69","Trinidad and Tobago","0.426"," a","..","..","0.353","..","0.349","..","0.346","..","0.344","..","0.342","..","0.342","..","0.329","..","0.322","..","0.324",".."
"95","Tunisia","0.530"," a","0.428","..","0.338","..","0.320","..","0.311","..","0.307","..","0.308","..","0.297","..","0.298","..","0.300","..","0.298",".."
